"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация, добавление трех товаровоформление заказа и проверка итоговой суммы","4498","Проверка сценария оформления покупки","10_lesson","2026-08-31","passed","2026-08-31","","test_shop_new","",""
"Установка задержки 45 секунд,ввод 7+8=, проверка результата 15","49060","Проверка калькулятора с задержкой","10_lesson","2026-08-31","passed","2026-08-31","","test_calculator_new","",""
